"","QQ","province"
"1",1,104
"2",1,88
"3",1,109
"4",1,95
"5",1,108
"6",1,90
"7",1,84
"8",1,96
"9",1,97
"10",1,100
"11",1,97
"12",1,98
"13",1,99
"14",1,102
"15",1,104
"16",1,104
"17",1,95
"18",1,97
"19",1,98
"20",1,101
"21",1,79
"22",1,91
"23",1,88
"24",1,101
"25",1,97
"26",1,86
"27",1,74
"28",1,122
"29",1,115
"30",1,105
"31",1,76
"32",2,103
"33",2,89
"34",2,109
"35",2,88
"36",2,73
"37",2,108
"38",2,105
"39",2,104
"40",2,96
"41",2,103
"42",2,97
"43",2,105
"44",2,102
"45",2,92
"46",2,105
"47",2,88
"48",2,113
"49",2,82
"50",2,103
"51",2,79
"52",2,100
"53",2,90
"54",2,93
"55",2,87
"56",2,91
"57",2,95
"58",2,84
"59",2,105
"60",2,124
"61",2,88
"62",2,99
"63",3,98
"64",3,102
"65",3,94
"66",3,88
"67",3,84
"68",3,92
"69",3,118
"70",3,105
"71",3,76
"72",3,100
"73",3,110
"74",3,92
"75",3,99
"76",3,98
"77",3,106
"78",3,85
"79",3,107
"80",3,97
"81",3,95
"82",3,86
"83",3,94
"84",3,90
"85",3,87
"86",3,98
"87",3,88
"88",3,90
"89",3,102
"90",3,125
"91",3,106
"92",3,99
"93",3,89
"94",4,95
"95",4,81
"96",4,88
"97",4,89
"98",4,95
"99",4,110
"100",4,93
"101",4,95
"102",4,91
"103",4,97
"104",4,96
"105",4,105
"106",4,100
"107",4,108
"108",4,85
"109",4,83
"110",4,85
"111",4,84
"112",4,104
"113",4,94
"114",4,87
"115",4,89
"116",4,92
"117",4,114
"118",4,84
"119",4,89
"120",4,100
"121",4,128
"122",4,135
"123",4,108
"124",4,96
