,mean.FHT,scale.hesitancy,Ques31,black,urban,college,poor,,,
1,5.453624704,54.91501464,NA,NA,NA,NA,NA,43.62899763,,
2,5.346944444,46.45515152,0,NA,NA,NA,NA,42.77555555,,
3,5.494300019,58.14061236,1,NA,NA,NA,NA,43.95440015,,
4,5.348905724,46.57575758,0,0,NA,NA,NA,42.79124579,,42.79124579
5,5.336647727,45.8219697,0,1,NA,NA,NA,42.69318182,42.69318182,
6,5.487237615,58.46511335,1,0,NA,NA,NA,43.89790092,,43.89790092
7,5.572727273,54.53706294,1,1,NA,NA,NA,44.58181818,44.58181818,
8,5.304614874,45.4123506,0,NA,0,NA,NA,42.43691899,42.43691899,
9,5.365454413,46.91114983,0,NA,1,NA,NA,42.9236353,,42.9236353
10,5.466528545,58.24640884,1,NA,0,NA,NA,43.73222836,43.73222836,
11,5.501643535,58.11263696,1,NA,1,NA,NA,44.01314828,,44.01314828
12,5.218235597,46.5462963,0,NA,NA,0,NA,41.74588478,41.74588478,
13,5.430181304,46.39620758,0,NA,NA,1,NA,43.44145043,,43.44145043
14,5.393438135,58.38995777,1,NA,NA,0,NA,43.14750508,43.14750508,
15,5.527245555,58.05916616,1,NA,NA,1,NA,44.21796444,,44.21796444
16,5.423331415,46.40678941,0,NA,NA,NA,0,43.38665132,,43.38665132
17,5.261950491,46.50896287,0,NA,NA,NA,1,42.09560393,42.09560393,
18,5.538810961,58.14417614,1,NA,NA,NA,0,44.31048769,,44.31048769
19,5.411373911,58.13397287,1,NA,NA,NA,1,43.29099129,43.29099129,
,,,,,,,,,,
,,,,,,,,,42.96551655,38.77583158
